Cycle_Index,Discharge_Time(s),Decrement_3.6-3.4V(s),Max_Voltage_Discharge(V),Min_Voltage_Charger(V),RUL
1,4038.502402100832,221.15812631790385,4.202871488383948,3.0016093769860164,799
2,4004.394290694006,220.9305885318829,4.2014654566841365,3.001730400434169,798
3,3965.779117442132,219.27872698567927,4.200419016114047,3.002658614585418,797
4,3991.6689037129736,212.91543693364008,4.19951546822842,3.0012786183974867,796
5,4042.003797099871,223.6040877593173,4.1949196651710965,2.9996753489718673,795
6,4025.430342565379,222.81755335167298,4.198325987404106,3.0008750016935997,794
7,4009.762904343731,215.57215735704392,4.197252651915293,3.0027857069315633,793
8,4003.8706106036716,222.33743603602682,4.197212849456783,3.0060369287567634,792
9,3998.483502718196,220.52453843150388,4.196485218973626,3.0017319607536073,791
10,4009.762645035296,212.09693927319447,4.1959055251756965,3.0046095748870547,790
11,3958.801136428343,214.08035542714322,4.1999017329391,3.0026438870986465,789
12,3929.34741802675,223.89140722444787,4.193847628660096,3.0038209375117724,788
13,3969.570105022112,219.59708092571026,4.195372674761659,3.006930793498527,787
14,3940.4725523966695,215.07848527094689,4.192058020379473,3.005728585162841,786
15,3930.8493773386845,213.4576205441368,4.194081283167775,3.0020174014545185,785
16,3938.391642702362,215.02303100942288,4.193878639780465,3.0036550499523766,784
17,4032.059417736011,215.22760235061148,4.192228852154271,3.007612442688883,783
18,3959.0837390222755,213.07018483685374,4.194338493884753,3.005683756085257,782
19,3963.35723509083,208.4411794380835,4.188731447927279,3.0034023197607684,781
20,3913.3291157898725,222.70006643200392,4.189025558116664,3.0043620951100523,780
21,3892.187411236221,221.70316836305722,4.189924760172047,3.0077069870454225,779
22,3920.4284207064356,210.3337227409657,4.190761613706968,3.0085888205624354,778
23,3985.6458675562626,217.23155647781834,4.188858859042591,3.0069357106029644,777
24,3950.028263982296,211.88880898642617,4.190571518073022,3.0121506276018724,776
25,3955.457852743332,214.94216388386732,4.186176620258068,3.009148304726911,775
26,3957.156981176062,214.3761671006317,4.184718843021023,3.007313037860734,774
27,3914.7595186060516,213.81082892141063,4.1871162566730735,3.0064685879038016,773
28,3971.638967519201,225.81473542038145,4.1858456394477725,3.0064502313907218,772
29,3908.5157720233346,213.44837157661905,4.1865857274407166,3.009370842640961,771
30,3967.1869707778765,211.4586808746654,4.184945195418267,3.008022445910173,770
31,3935.76906468406,211.53709285251475,4.183819960418753,3.0126474875079667,769
32,3866.3286453726105,220.41888478200877,4.183850124856552,3.0125326236058356,768
33,3895.059715401984,206.78948834153533,4.1835576977895865,3.0111661330949944,767
34,3861.4518440138368,211.0868854178224,4.182390037400303,3.0078420076540864,766
35,3947.3984639838263,221.98411420055766,4.182093735907353,3.0091555622548953,765
36,3909.257937375928,215.81993093998824,4.181192813326026,3.0133113550514823,764
37,3840.6497268015064,215.40961002518054,4.183213330239739,3.0099738676004097,763
38,3916.2724064515896,224.96073230071852,4.1813880420090115,3.013644283467839,762
39,3886.38507212835,215.3817397647425,4.1850135049443375,3.0126492078460694,761
40,3855.4858243490003,210.45906919320208,4.180321409102557,3.0121034357696264,760
41,3947.838975109061,212.43961471561826,4.178398285059343,3.0108943343741292,759
42,3898.218575982897,208.02283845484715,4.184341350749726,3.0124115123129505,758
43,3883.6970579306007,219.8296852000785,4.179327252755429,3.01327929590975,757
44,3878.0172565704197,216.27280858768358,4.179980249573785,3.015265077796602,756
45,3842.1016159252667,218.87207074985446,4.178684205966405,3.0117285287987325,755
46,3845.8635330124766,219.16491964274684,4.178246022058596,3.0132743663149477,754
47,3921.0475035462523,210.87894609536232,4.177571308102705,3.0141896462638647,753
48,3865.7835139064287,208.07623573995556,4.173795830870448,3.0157253567153726,752
49,3878.162031028106,212.3914344434598,4.1762350580951235,3.0128830713249544,751
50,3813.6700857139676,208.1361946460573,4.172350277392299,3.0123668604142257,750
51,3832.957238926135,213.1747843770451,4.174151274327175,3.01664793030342,749
52,3888.2943755962424,217.86048440417343,4.172548765086874,3.012564101770107,748
53,3878.831352803415,211.20930176975418,4.174214940371697,3.0184699594295243,747
54,3917.6012559617293,212.64997544953872,4.173668252494677,3.0158881478050343,746
55,3902.7886899489367,211.28077191888318,4.17346229178153,3.0134049378354515,745
56,3853.0786708254554,215.61363786218848,4.172574593145499,3.015839159561193,744
57,3871.688606941398,208.11108802855853,4.170286349316427,3.0178582472661386,743
58,3845.5018967129076,200.31776869178452,4.170477993021297,3.01633459782489,742
59,3914.1442945591593,213.50434429687692,4.172340792322509,3.017740059497649,741
60,3884.470440881572,215.93917210653996,4.172135713354589,3.0194801567314102,740
61,3852.5905527257323,213.08187122379266,4.167206433802747,3.0178956193292246,739
62,3851.0118435462905,207.49884752265993,4.165938144734975,3.0167258846470677,738
63,3885.845508617794,204.87493950906966,4.167046221233591,3.018302032005256,737
64,3857.3873354134153,212.8724876589016,4.170090415164065,3.0220296802729187,736
65,3884.258840512103,210.95739476467338,4.169929768060366,3.0228701286906663,735
66,3769.190562212234,209.47103686170834,4.165150576239197,3.0157601476521156,734
67,3846.336847844964,219.06231671496894,4.167114618707473,3.022282055818383,733
68,3814.5369540595584,205.06599952909335,4.16966886266628,3.0209002954320705,732
69,3880.1913396288396,218.52518510563732,4.16633062295448,3.0225479653582403,731
70,3871.391960615695,209.6589195243532,4.167843006570466,3.0198990234794647,730
71,3823.485074273039,200.17214761564563,4.166497453140167,3.017763472980997,729
72,3866.068929364331,208.30398672840428,4.162179602587544,3.022768977577295,728
73,3870.9934355997752,213.84748038299722,4.163120037153006,3.0200180454774346,727
74,3817.2322001577845,207.07472483597516,4.163069508956584,3.0194234151370303,726
75,3886.6580131729556,201.37610729380802,4.162708266776043,3.019863197235053,725
76,3809.059765419908,207.77742734101915,4.163832657906877,3.0240018275648306,724
77,3801.064371489923,204.16413813054146,4.162317369524551,3.0233789049320583,723
78,3830.97617765753,210.75907200543983,4.155127598112444,3.0249649320437495,722
79,3791.8862780657305,212.01699908033805,4.157874319453814,3.0250381505089927,721
80,3802.560193273847,202.71864796125948,4.155625238170048,3.0231581328708326,720
81,3839.7830327215274,204.32097972442173,4.1598507304813115,3.0241590528522453,719
82,3795.576565566518,211.48321232553468,4.159480975298935,3.023577124942435,718
83,3741.6494662107407,203.2557786085052,4.159066449917222,3.024479344454269,717
84,3801.019581635476,201.98920932086003,4.156082143464571,3.0232654905240377,716
85,3766.611192628428,201.35654434101872,4.1588482880102395,3.0262809685877485,715
86,3810.9581347188364,208.8601930647906,4.1584325249929375,3.0279502414979635,714
87,3803.3856914747876,208.4957885975873,4.15398970186559,3.024466773940358,713
88,3824.142010444996,203.37976984810481,4.153067923597103,3.028962539290803,712
